Algorithm,Total Frames Processed,Total Frames in Video,Execution Time (s),Time Complexity,Space Complexity,Determinism Check,v1_vs_v2_Same,Similarity Check Time (s)
perceptual_hash,36,211,0.87,O(n/static/uploads\sample_video2.mp4),O(n),True,True,1.5583970546722412
difference_hash,36,211,0.83,O(n/static/uploads\sample_video2.mp4),O(n),True,True,1.4539763927459717
average_hash,36,211,0.83,O(n/static/uploads\sample_video2.mp4),O(n),True,True,1.4903004169464111
block_mean_value_hash,36,211,0.85,O(n/static/uploads\sample_video2.mp4),O(n),True,True,1.5112419128417969
sift,36,211,6.27,O(n/static/uploads\sample_video2.mp4),O(n),False,True,11.836589336395264
fmt,36,211,1.30,O(n/static/uploads\sample_video2.mp4),O(n),True,True,2.6451873779296875
color_histogram,36,211,0.66,O(n/static/uploads\sample_video2.mp4),O(n),True,True,1.2922742366790771
motion_vector,35,211,9.16,O(n/static/uploads\sample_video2.mp4),O(n),True,True,18.759206295013428
spatio_temporal,35,211,0.63,O(n/static/uploads\sample_video2.mp4),O(n),True,True,1.2970075607299805
keyframe_extraction,35,211,0.68,O(n/static/uploads\sample_video2.mp4),O(n),True,True,1.4351744651794434
frame_signature,36,211,0.80,O(n/static/uploads\sample_video2.mp4),O(n),True,True,1.6262507438659668
